"Category","Product type","SKU","Product description","Size (cm)","Size (inches)","Finish","Paper type","Substrate weight","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X30","Photographic Art Print 50x75cm / 20x30""","50x75cm","20x30""",,"LPP","240gsm","   23.00","USD","US","US","Overnight","   34.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-20X30","Photographic Art Print 50x75cm / 20x30""","50x75cm","20x30""",,"LPP","240gsm","   23.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-24X36","Photographic Art Print 60x90cm / 24x36""","60x90cm","24x36""",,"LPP","240gsm","   25.00","USD","US","US","Budget","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-24X36","Photographic Art Print 60x90cm / 24x36""","60x90cm","24x36""",,"LPP","240gsm","   25.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-24X36","Photographic Art Print 60x90cm / 24x36""","60x90cm","24x36""",,"LPP","240gsm","   25.00","USD","US","US","Overnight","   34.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-24X36","Photographic Art Print 60x90cm / 24x36""","60x90cm","24x36""",,"LPP","240gsm","   25.00","USD","US","US","Standard","   12.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X10","Photographic Art Print 20x25cm / 8x10""","20x25cm","8x10""",,"LPP","240gsm","   10.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X10","Photographic Art Print 20x25cm / 8x10""","20x25cm","8x10""",,"LPP","240gsm","   10.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X10","Photographic Art Print 20x25cm / 8x10""","20x25cm","8x10""",,"LPP","240gsm","   10.00","USD","US","US","Overnight","   29.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X10","Photographic Art Print 20x25cm / 8x10""","20x25cm","8x10""",,"LPP","240gsm","   10.00","USD","US","US","Standard","    8.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X12","Photographic Art Print 20x30cm / 8x12""","20x30cm","8x12""",,"LPP","240gsm","   13.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X12","Photographic Art Print 20x30cm / 8x12""","20x30cm","8x12""",,"LPP","240gsm","   13.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X12","Photographic Art Print 20x30cm / 8x12""","20x30cm","8x12""",,"LPP","240gsm","   13.00","USD","US","US","Overnight","   29.95","    0.00","USD",1,1,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X12","Photographic Art Print 20x30cm / 8x12""","20x30cm","8x12""",,"LPP","240gsm","   13.00","USD","US","US","Standard","    8.95","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X16","Photographic Art Print 20x40cm / 8x16""","20x40cm","8x16""",,"LPP","240gsm","   12.00","USD","US","US","Budget","    5.95","    0.00","USD",1,5,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X16","Photographic Art Print 20x40cm / 8x16""","20x40cm","8x16""",,"LPP","240gsm","   12.00","USD","US","US","Express","   20.00","    0.00","USD",1,3,"Tracked"
"Prints","Photo Art Prints","EP-GLOBAL-PAP-8X16","Photographic Art Print 20x40cm / 8x16""","20x40cm","8x16""",,"LPP","240gsm","   12.00","USD","US","US","Overnight","   31.95","    0.00","USD",1,1,"Tracked"
